Region,Year,Overnight Trips,Visitor Nights,Daytrips
New South Wales,2007,24653047,85028469,45476875
New South Wales,2008,24440493,83499408,46051389
New South Wales,2009,22861937,78670223,45596747
New South Wales,2010,23270050,78032985,50129210
New South Wales,2011,24666111,82932681,50146692
New South Wales,2012,24270342,82848844,53855458
New South Wales,2013,25020857,84497931,51530519
New South Wales,2014,26236578,85772848,53318395
New South Wales,2015,27157682,88100137,52728199
New South Wales,2016,28523888,91486260,56771276
New South Wales,2017,30154162,96867319,56806937
New South Wales,2018,33667221,104848293,61374308
New South Wales,2019,37236631,116060372,69184067
New South Wales,2020,30312201,98839049,62015670
New South Wales,2021,30154676,103511151,54584181
Victoria,2007,17017135,53018446,33966352
Victoria,2008,17613713,53356899,35411876
Victoria,2009,16293187,50489575,37526477
Victoria,2010,16483104,51864909,40409462
Victoria,2011,17068398,52114288,40520112
Victoria,2012,17929191,54128746,44122934
Victoria,2013,17935205,56121137,43829705
Victoria,2014,19249140,57601971,42905090
Victoria,2015,20184335,59393431,44001790
Victoria,2016,21232558,62558868,47317637
Victoria,2017,23375599,66763277,49559273
Victoria,2018,25517055,73381713,55315235
Victoria,2019,29047357,81165379,61452908
Victoria,2020,22700880,67813303,55555182
Victoria,2021,16611475,53898464,37079624
Queensland,2007,17819328,77471643,29761011
Queensland,2008,17606918,77410324,29339789
Queensland,2009,16464673,69320692,32216600
Queensland,2010,16106972,72266457,34365354
Queensland,2011,16744881,69623274,34700896
Queensland,2012,17972963,75172697,37293084
Queensland,2013,17957820,75308642,38634082
Queensland,2014,18521625,74456406,37406344
Queensland,2015,19956896,77768975,38501271
Queensland,2016,20204684,78752283,41178634
Queensland,2017,21278629,83159594,39485542
Queensland,2018,22559554,90238166,43074538
Queensland,2019,25311918,99982274,48508182
Queensland,2020,20421284,82100883,44036351
Queensland,2021,20758194,82880179,41673637
South Australia,2007,5351869,18894157,10245514
South Australia,2008,5282433,19060039,10301978
South Australia,2009,4879029,18450847,10175645
South Australia,2010,4890563,18523396,10380836
South Australia,2011,5017619,18529897,10834837
South Australia,2012,5101210,18826208,11704662
South Australia,2013,5220072,18962103,11403350
South Australia,2014,5463460,19659560,11983758
South Australia,2015,5809336,20494756,11810147
South Australia,2016,6127892,21685678,13533053
South Australia,2017,6143671,21546105,13156115
South Australia,2018,6598745,24159290,13516606
South Australia,2019,7404102,26732034,15292462
South Australia,2020,6545483,22534695,15519918
South Australia,2021,6350574,24172860,13210588
Western Australia,2007,6647762,31635124,13016049
Western Australia,2008,6258683,30808799,13050423
Western Australia,2009,5735698,26374182,12300041
Western Australia,2010,5025972,22684646,12359521
Western Australia,2011,5512482,24810448,13446769
Western Australia,2012,6104981,27246805,14154159
Western Australia,2013,6601309,29974965,14717478
Western Australia,2014,8150102,37905455,17546694
Western Australia,2015,9508209,42259336,20227044
Western Australia,2016,9979540,45530235,20108304
Western Australia,2017,9066326,40466550,18743519
Western Australia,2018,9508184,41298686,19216635
Western Australia,2019,10597956,46708688,22494174
Western Australia,2020,9361470,44224305,19983747
Western Australia,2021,9718514,45359329,18712937
Tasmania,2007,2085158,9562139,4486530
Tasmania,2008,2086462,9385854,4219386
Tasmania,2009,1867177,8362138,4398632
Tasmania,2010,1933031,8840021,4625594
Tasmania,2011,1845858,7814938,4192427
Tasmania,2012,1992264,8774339,4888873
Tasmania,2013,2233315,9002433,4912139
Tasmania,2014,2149550,9485340,5164251
Tasmania,2015,2255431,9313811,5313758
Tasmania,2016,2330346,10166864,5755923
Tasmania,2017,2700414,11196102,5644411
Tasmania,2018,2840197,11664397,6006967
Tasmania,2019,3198191,12815386,6756354
Tasmania,2020,2411297,11132113,5715320
Tasmania,2021,2727160,11215641,5501292
Northern Territory,2007,1100817,7574686,928481
Northern Territory,2008,1088096,6695831,930512
Northern Territory,2009,1096536,6678538,1020434
Northern Territory,2010,1033345,6497212,1134920
Northern Territory,2011,911418,5727167,929665
Northern Territory,2012,1019517,6301524,1112235
Northern Territory,2013,956133,5955988,1010775
Northern Territory,2014,1193361,5912405,1174362
Northern Territory,2015,1409121,8681512,1453146
Northern Territory,2016,1543520,9117261,1574331
Northern Territory,2017,1589464,9346885,1572644
Northern Territory,2018,1467177,9699891,1237639
Northern Territory,2019,1651355,9119843,1298906
Northern Territory,2020,1346048,7407354,1457209
Northern Territory,2021,1231502,6638048,1311666
Australian Capital Territory,2007,1879926,5948576,1658323
Australian Capital Territory,2008,1938718,5272826,1440110
Australian Capital Territory,2009,1895515,5020006,1490215
Australian Capital Territory,2010,2011718,5550716,1670263
Australian Capital Territory,2011,1751460,4682521,1515201
Australian Capital Territory,2012,1879147,5049199,1715446
Australian Capital Territory,2013,2048763,6232860,1819258
Australian Capital Territory,2014,2180024,5394551,1780225
Australian Capital Territory,2015,2218647,6124168,1779955
Australian Capital Territory,2016,2518226,6413446,1958811
Australian Capital Territory,2017,2654402,6707952,2101423
Australian Capital Territory,2018,2765195,7242213,2092814
Australian Capital Territory,2019,2903683,7611244,2313042
Australian Capital Territory,2020,2485114,7420959,2259398
Australian Capital Territory,2021,2204023,5976389,1755064
Total,2007,73769632,289133240,139539134
Total,2008,73527370,285489981,140745464
Total,2009,68539241,263405206,144724790
Total,2010,68143364,264260341,155075160
Total,2011,70976876,266235212,156286598
Total,2012,73368745,278348362,168846849
Total,2013,75268401,286056060,167857306
Total,2014,80331766,296188537,171279118
Total,2015,85317380,312136126,175815312
Total,2016,89070832,325710895,188197969
Total,2017,93361656,336053784,187069864
Total,2018,101487100,362532650,201861255
Total,2019,113320334,400217246,227319346
Total,2020,92035385,341472661,206542796
Total,2021,87358809,333652061,173828991